               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.048092,            0.056673,            0.012593,             0.56499,             0.46253,             0.46889,              0.2769,            0.045416,            0.031647,            0.013666,            0.006337,            0.006337,            0.006337
                 113,            0.047983,            0.056324,            0.012701,             0.56488,             0.46431,             0.46908,             0.27721,            0.045401,            0.031639,            0.013666,            0.006304,            0.006304,            0.006304
                 114,            0.047887,            0.056308,            0.012533,             0.56656,             0.46413,             0.46994,             0.27753,            0.045384,            0.031636,            0.013668,            0.006271,            0.006271,            0.006271
                 115,            0.047811,            0.056023,            0.012618,             0.56632,             0.46301,             0.47049,             0.27827,            0.045372,            0.031631,            0.013671,            0.006238,            0.006238,            0.006238
                 116,            0.047698,            0.056337,            0.012396,             0.56417,             0.46273,               0.471,             0.27893,            0.045355,            0.031625,            0.013671,            0.006205,            0.006205,            0.006205
                 117,            0.047638,             0.05609,            0.012454,             0.56474,             0.46046,             0.47045,             0.27874,            0.045341,            0.031621,            0.013677,            0.006172,            0.006172,            0.006172
                 118,            0.047686,            0.056123,            0.012419,             0.56649,             0.45888,              0.4705,             0.27948,            0.045328,            0.031613,            0.013681,            0.006139,            0.006139,            0.006139
                 119,            0.047731,            0.056387,            0.012421,               0.563,             0.46261,             0.47065,             0.27936,            0.045315,             0.03161,            0.013681,            0.006106,            0.006106,            0.006106
                 120,            0.047659,            0.056804,            0.012441,             0.56266,             0.46429,             0.47094,             0.27911,            0.045298,            0.031608,            0.013672,            0.006073,            0.006073,            0.006073
                 121,            0.047364,            0.055479,            0.012231,             0.56087,             0.46652,             0.47128,             0.27989,            0.045287,            0.031602,            0.013671,             0.00604,             0.00604,             0.00604
                 122,            0.047571,             0.05633,            0.012242,             0.56817,             0.46167,             0.47188,             0.28052,            0.045279,            0.031602,            0.013671,            0.006007,            0.006007,            0.006007
                 123,            0.047477,            0.056234,            0.012202,              0.5592,             0.46413,             0.47252,             0.28082,             0.04527,              0.0316,            0.013667,            0.005974,            0.005974,            0.005974
                 124,            0.047563,             0.05588,            0.012287,             0.56208,             0.46394,             0.47214,             0.28075,            0.045261,              0.0316,             0.01366,            0.005941,            0.005941,            0.005941
                 125,            0.047425,            0.055756,            0.012093,             0.56203,             0.46537,             0.47247,              0.2812,            0.045251,            0.031596,            0.013656,            0.005908,            0.005908,            0.005908
                 126,            0.047383,            0.055667,            0.012106,             0.56532,             0.46681,             0.47338,             0.28132,            0.045242,            0.031593,            0.013649,            0.005875,            0.005875,            0.005875
                 127,            0.047309,            0.055343,              0.0121,             0.56636,             0.46872,               0.474,             0.28177,            0.045235,            0.031588,            0.013645,            0.005842,            0.005842,            0.005842
